Leche chocolatada,62,10,3,1.1
Leche descremada  en polvo,36,5.1,3.5,0.1
Leche entera,57,4.5,3,3
Leche entera azucarada,79,10,3,3
Leche descremada,45,4.7,3.1,1.5
Leche cultiv.descr.,32,4.3,3.6,0.1
Leche cultiv. entera/frutas,89,14,3.5,2.2
Yogur con cereales,48,9,3,0.05
Yogur con durazno,48,9,3,0.05
Yogur con fibras y frutas,71,12.5,4.7,0.2
Yogur con cereal azucar,119,21,3.8,2.2
Yogur descr. saborizado,34.5,4.4,3.6,0.05
Yogur descr. y All  Bran,75,12.5,5.1,0.4
Yogur descr. con frutas,48,9,2.8,0.03
Yogur descr. y corn flakes,63,11.4,4.2,0.04
Queso "Philadelphia" ligth,200,6.6,10,16.6
Queso Blanco diet,100,7.4,9.9,3.5
Queso camembert0brie,527,0,26.7,29.7
Queso cheddar Argentino,374,0,26,30
Queso chubut,328,0,25.9,24.9
Queso cottage,95,2,11.4,4.5
Queso crema,245,3.7,8.2,22
Queso cremoso,305,1.3,18.7,25
Queso cuartirolo,273,0,21,21
Queso dambo,356,0,26,28
Queso de cabra,173,3.7,16,10.3
Queso de máquina,250,1.9,16.5,17.2
Queso edam,345,26,22,27
Queso edam diet,268,1,30,16
Queso emmenthal,403,0.5,27.8,28.2
Queso fiambrín,334,1.2,17,29
Queso fontina,369,0,27,29
Queso fresco,307,1,24,23
Queso fresco diet,230,1,24,15
Queso fundido untable,285,2.9,10,25.9
Queso fymbo,348,0,24,28
Queso gruyere,357,10,28,26
Queso holanda,360,0,24,28
Queso Mar del Plata,400,0,29.5,31.3
Queso mini fymbo,343,0,25,27
Queso Mozzarella,334,0,24,26
Queso Neufchatel,237,2.2,9.8,21
Queso parmesano,393,2.9,36,26
Queso pategrás,365,0,26,29
Queso petit suisse,165,3.5,7.5,13
Queso Port Salut,295,0,22,23
Queso Port salut diet,214,0.5,26,12
Queso provolone,392,0,30.5,30
Queso rallado,427,0,42.5,28.5
Queso reggianito,334,0,34,22
Queso ricotta,185,2.5,14.5,13
Queso ricotta descr.,105,2,13,5
Queso roquefort,364,0,20,31
Queso sardo,367,0,31,27
Queso tilsit diet.,270,1,30,17
Queso tofu,134,1,13,9
Clara de huevo,53,1,11,0.2
Huevo de codorniz,179,3.6,11.6,13.1
Yema de huevo,341,2,16,29.2
Bife angosto,182,0,20.8,10.3
Cuadril,303,0,17.4,25.3
Cuadril magro,158,0,21.2,7.5
Hamburguesa,230,0.5,14,18.3
Hamburguesa diet.,112,2.4,17,3.6
Lomo semigordo,241,0,18.5,17.9
Lomo magro,148,0,20.7,6.5
Tapa de asado c/grasa,325,0,16.63,28.15
Tapa de asado magra,154,0,20.75,7.28
Tira de asado,401,0,14.8,37.4
Tira de asado magro,193,0,20.7,11.6
Vacío,144,0,21.6,5.7
Carne de cerdo gorda,346,0,14.6,31.4
Carne de cerdo magra,276,0,16.7,22.7
Chivo,165,0,18.7,9.4
Ciervo,120,0,22.9,2.4
Liebre,135,0,21,5
Carne de conejo,156,0,20.3,7.7
Chinchulines de vaca,98,0,14.5,3.9
Hígado de vaca,134,3.6,19.8,3.9
Lengua de vaca,191,0.9,16,13.2
Mollejas de vaca,229,0,14.4,19
Mondongo de vaca,90,1.4,14,2.7
Riñón de vaca,124,1.8,16.8,5
Bondiola,353,0,21,30
Chorizo,373,2,12.5,31
Jamón cocido,126,3,20,4
Jamón crudo,296,0,25.8,20.6
Lomo,153,3,23,5
Mortadela,309,4,17,25
Paleta,121,3,16,5
Panceta ahumada,558,9,58,31
Pastrón,125,2,18,5
Leberwurst,294,3,21,22
Picadillo de carne,182,3.3,12,13.5
Salamín,325,0,23,26
Salchicha de viena,269,4.6,12,22.5
Salchicha de viena diet.,150,0,13.9,10.5
Hamburguesa de pollo,153,1.8,19.1,7.7
Carne de pavo,268,0.5,20,20.1
Pavita,163,0,21.7,6.5
carne de Pollo,170,0,18.2,10.2
Menudos de pollo,103,0.1,17.5,3.1
Bacalao,77,0,17.5,0.3
Brótola,84,0,16.7,0.8
Caballa,165,0,21.3,8.2
Lenguado,87,0,19,0.5
Merluza,90,0,19.3,0.8
Pejerrey,87,0,18.8,0.9
Salmón rosado,99,0,16.95,2.93
Surubí,109,0,18.2,4
Anchoas,175,0,11.7,10
Arenque en salmuera,219,0,21,15
Atún en aceite,288,0,24.2,20.5
Atún en agua,127,0,28,0.8
Caviar en lata,262,3.3,26.9,15
Kani0Kama,80,0,10.5,0.3
Sardinas en aceite,238,0,23.4,13.2
Almeja,76,2,12.6,1.6
Calamar,78,0,16.4,0.9
Langosta,88,0.5,16.2,1.9
Langostino,115,0,17.9,4.3
Mejillón,95,3.2,14.4,2.1
Ostra,44,3.5,5.8,0.5
Pulpo,56,0,12.6,0.3
Vieira,78,3.4,14.8,0.1
Acelga,25,4.6,2.4,0.3
Achicoria,20,3.8,1.8,0.3
Ají Morrón rojo,24,5.1,0.8,0.2
Alcaucil,33,6.9,2.8,0.2
Brotes de Alfalfa,52,9.5,6,0.4
Apio,21,3.3,1.1,0
Arvejas,84,14.4,6.3,0.4
Batata,114,26.3,1.7,0.4
Berenjena,25,5.6,1.2,0.2
Berro,19,3,2.2,0.3
Brócoli,32,5.9,3.6,0.3
Calabaza,26,6.5,1,0.1
Cebolla,38,8.7,1.5,0.1
Chauchas,32,7.1,1.9,0.2
Col de Bruselas,45,8.3,4.9,0.4
Repollo Blanco,24,5.4,1.3,0.2
Repollo Colorado,31,6.9,2,0.2
Coliflor,27,5.2,2.7,0.2
Endibia,20,4.1,1.7,0.1
